Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Caldas da Rainha;Com Exploração;Estação;Linha do Oeste;Nossa Senhora do Pópulo, Coto e São Gregório;CALDAS DA RAINHA;LEIRIA
Luso Buçaco;Com Exploração;Apeadeiro;Linha da Beira Alta;Luso;MEALHADA;AVEIRO
Barquinha;Com Exploração;Estação;Linha da Beira Baixa;Vila Nova da Barquinha;VILA NOVA DA BARQUINHA;SANTARÉM
Lares;Com Exploração;Apeadeiro;Linha do Oeste;Vila Verde;FIGUEIRA DA FOZ;COIMBRA
Ramalhal;Com Exploração;Estação;Linha do Oeste;Ramalhal;TORRES VEDRAS;LISBOA
Carrascal-Delongo;Com Exploração;Apeadeiro;Ramal de Tomar;Paialvo;TOMAR;SANTARÉM
Gouveia;Com Exploração;Estação;Linha da Beira Alta;Abrunhosa-a-Velha;MANGUALDE;VISEU
Zibreira;Com Exploração;Apeadeiro;Linha do Oeste;Sobral de Monte Agraço;SOBRAL DE MONTE AGRAÇO;LISBOA
Santo Amaro;Com Exploração;Apeadeiro;Linha de Cascais;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;OEIRAS;LISBOA
Barqueiros;Com Exploração;Apeadeiro;Linha do Douro;Barqueiros;MESÃO FRIO;VILA REAL
Cabêda;Com Exploração;Apeadeiro;Linha do Douro;Alfena;VALONGO;PORTO
Fratel;Com Exploração;Estação;Linha da Beira Baixa;Fratel;VILA VELHA DE RÓDÃO;CASTELO BRANCO
Assumar;Com Exploração;Apeadeiro;Linha do Leste;Assumar;MONFORTE;PORTALEGRE
Marvila;Com Exploração;Apeadeiro;Linha de Cintura;Marvila;LISBOA;LISBOA
